word,TotalCount,2006-2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
pic,33,0,4,0,6,10,6,3,1,0,1,2
line,33,0,24,1,1,3,0,0,1,0,2,1
mode,33,0,29,1,2,0,1,0,0,0,0,0
Good,33,1,9,3,3,0,2,2,5,2,1,5
geek,33,1,32,0,0,0,0,0,0,0,0,0
from,33,2,26,1,0,0,0,1,0,2,1,0
teen,33,0,20,1,0,0,0,1,1,8,1,1
star,32,2,20,0,1,1,0,0,3,0,3,2
FANDOM,32,0,2,0,0,0,2,7,5,4,8,4
block,32,0,9,5,3,2,1,1,2,1,2,6
like,31,1,2,1,1,1,3,2,7,3,3,7
little,31,0,13,1,1,1,5,4,3,1,0,2
TRUE,31,1,27,0,1,0,0,0,0,1,0,1
SYSTEM,30,0,28,0,0,0,0,0,0,0,1,1
lent,30,1,29,0,0,0,0,0,0,0,0,0
Night,30,0,12,1,1,2,2,2,6,0,3,1
Roll,30,0,23,2,1,1,1,1,0,0,0,1
feed,30,0,26,1,0,0,1,0,0,0,1,1
Dead,30,0,17,0,1,1,0,4,1,4,2,0
delicious,29,1,28,0,0,0,0,0,0,0,0,0
BYE,29,0,9,10,2,0,2,0,0,0,0,6
Print,29,0,6,0,0,3,1,4,2,2,4,7
Pub,29,0,21,2,0,1,2,1,0,0,1,1
reality,29,0,26,2,0,0,0,1,0,0,0,0
Park,29,2,7,0,3,5,3,2,0,0,2,5
Speedy,29,1,27,0,0,1,0,0,0,0,0,0
make,28,0,6,5,1,0,2,1,1,0,1,11
Music,28,0,16,0,1,1,0,5,0,0,1,4
miss,28,1,13,1,1,0,0,2,8,1,0,1
hot,28,1,4,4,1,4,0,2,4,2,4,2
AIR,28,2,24,1,0,0,0,0,1,0,0,0
blood,27,1,25,0,0,0,0,0,0,0,0,1
Button,27,0,27,0,0,0,0,0,0,0,0,0
Brown,27,0,21,3,0,0,1,0,0,0,1,1
pet,27,0,20,0,0,0,4,0,1,0,0,2
With,27,1,7,1,1,2,0,9,1,2,1,2
world,27,3,14,5,0,0,0,2,0,1,2,0
year,27,0,5,1,3,2,3,2,1,9,1,0
Theory,26,1,23,0,1,0,0,0,1,0,0,0
user,26,1,6,1,2,2,7,5,1,0,1,0
people,26,1,19,1,1,1,0,0,0,2,1,0
Hello,26,2,15,1,1,2,3,0,0,0,2,0
Mate,26,0,19,1,3,1,0,0,1,0,0,1
More,26,0,13,2,1,1,1,1,2,1,1,3
AM,26,2,13,1,0,1,2,2,2,1,1,1
Blue,25,0,20,0,0,1,1,0,1,1,0,1
back,25,4,14,0,0,0,2,1,1,0,0,3
hit,25,2,10,2,2,0,0,0,0,0,4,5
rave,25,0,10,2,0,0,1,0,0,0,2,10
sorry,25,1,17,1,0,1,1,1,0,3,0,0
Sky,25,2,11,0,1,0,3,3,1,1,2,1
Mix,24,0,15,0,0,1,2,1,2,0,0,3
Movie,24,0,23,0,0,0,0,0,0,0,0,1
be,24,0,12,1,2,1,1,7,0,0,0,0
Are,24,0,15,1,0,2,0,3,0,1,0,2
cool,24,1,21,1,0,1,0,0,0,0,0,0
City,24,0,10,2,1,0,0,2,2,1,3,3
Earth,24,0,24,0,0,0,0,0,0,0,0,0
drive,23,0,17,1,0,1,0,0,2,1,0,1
Grey,23,0,10,1,3,0,0,7,1,0,0,1
CHRISTIAN,23,0,15,2,0,1,1,1,0,0,1,2
punk,23,0,13,0,2,3,0,3,1,1,0,0
old,23,0,14,1,0,0,0,1,1,4,0,2
Sex,23,2,13,3,1,2,0,1,1,0,0,0
YES,22,3,13,3,1,0,1,0,1,0,0,0
who,22,0,11,5,0,3,0,0,3,0,0,0
What,22,0,11,2,3,1,0,2,2,0,1,0
Model,22,0,20,0,0,0,0,0,0,0,0,2
Low,22,0,0,0,0,20,0,0,0,0,1,1
html,22,8,11,1,0,1,0,0,0,0,0,1
just,22,0,10,3,2,0,0,0,4,0,2,1
ago,22,0,21,0,0,0,0,0,0,0,1,0
An,21,0,13,2,0,0,0,0,2,0,0,4
Following,21,1,18,2,0,0,0,0,0,0,0,0
job,21,1,17,0,0,0,0,0,0,1,0,2
out,21,1,10,3,0,1,0,1,1,0,4,0
River,21,0,8,0,0,0,1,2,1,0,0,9
WOW,21,2,15,2,0,0,0,0,0,2,0,0
