word,TotalCount,2006-2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
RIP,7,1,3,0,0,1,0,0,1,1,0,0
KItty,7,0,7,0,0,0,0,0,0,0,0,0
know,7,0,5,0,0,0,1,0,1,0,0,0
MOTION,7,0,7,0,0,0,0,0,0,0,0,0
made,7,1,6,0,0,0,0,0,0,0,0,0
lord,7,0,4,0,1,0,1,1,0,0,0,0
long,7,0,2,0,0,0,2,0,0,0,2,1
level,7,0,2,0,0,0,0,2,0,1,1,1
Lucky,6,0,1,5,0,0,0,0,0,0,0,0
Macro,6,0,6,0,0,0,0,0,0,0,0,0
Mad,6,0,4,0,0,0,1,0,1,0,0,0
mat,6,0,1,0,0,0,1,0,1,1,1,1
Men,6,0,1,0,0,0,0,0,3,1,0,1
Millionaire,6,0,6,0,0,0,0,0,0,0,0,0
mister,6,0,1,0,0,1,1,0,0,0,0,3
keto,6,1,5,0,0,0,0,0,0,0,0,0
Journal,6,0,6,0,0,0,0,0,0,0,0,0
idol,6,0,3,0,2,0,0,0,0,0,0,1
Hi,6,1,2,0,1,0,0,0,0,0,2,0
Hope,6,1,2,1,1,0,0,0,1,0,0,0
here,6,0,4,1,0,0,0,1,0,0,0,0
Hate,6,0,5,0,0,0,0,0,0,0,0,1
school,6,0,2,0,0,0,0,1,1,0,1,1
robot,6,0,6,0,0,0,0,0,0,0,0,0
purpose,6,0,0,0,0,0,0,0,0,5,1,0
ocean,6,0,4,0,0,0,0,0,0,0,2,0
PILLOW,6,0,5,0,1,0,0,0,0,0,0,0
ping,6,0,5,0,0,0,0,0,0,1,0,0
Pit,6,0,1,1,0,0,0,0,2,0,0,2
Gourmet,6,0,1,0,1,0,1,0,0,0,0,3
Get,6,0,5,0,0,0,0,0,0,1,0,0
Fit,6,1,0,0,1,0,1,0,0,0,0,3
fast,6,0,4,0,0,0,0,0,0,1,0,1
DRAFT,6,0,0,0,0,0,0,0,3,0,0,3
Double,6,0,3,0,0,0,0,0,0,0,2,1
dissolve,6,0,5,0,0,0,0,1,0,0,0,0
Cry,6,0,4,0,0,0,0,1,0,1,0,0
car,6,0,4,1,0,0,0,0,0,1,0,0
Comedy,6,0,6,0,0,0,0,0,0,0,0,0
CMS,6,1,4,1,0,0,0,0,0,0,0,0
Coaching,6,1,2,0,0,1,0,1,1,0,0,0
Christmas,6,1,1,3,0,0,1,0,0,0,0,0
Advertising,6,0,6,0,0,0,0,0,0,0,0,0
Bitch,6,0,3,1,0,1,0,0,0,0,0,1
Ball,6,0,3,0,0,0,0,0,2,1,0,0
Believe,6,0,2,0,2,1,0,0,1,0,0,0
blues,6,0,4,1,0,0,0,0,0,0,0,1
body,6,0,3,1,0,0,0,0,0,0,0,2
arrow,6,0,0,0,0,0,0,3,2,0,0,1
BACKGROUND,6,0,6,0,0,0,0,0,0,0,0,0
wonder,6,1,3,0,1,0,0,0,0,1,0,0
WEEKEND,6,1,5,0,0,0,0,0,0,0,0,0
Walk,6,0,4,0,1,0,0,0,1,0,0,0
Voice,6,0,0,0,1,1,0,3,0,0,0,1
VERY,6,1,3,0,0,0,0,0,0,0,1,1
start,6,0,5,0,0,0,0,0,0,0,0,1
Space,6,2,1,0,0,1,0,0,1,1,0,0
Stuff,6,0,4,0,0,0,0,0,0,0,0,2
steam,6,0,6,0,0,0,0,0,0,0,0,0
Simple,6,0,2,1,2,1,0,0,0,0,0,0
Singles,6,0,3,0,0,1,0,0,1,1,0,0
Smile,6,0,4,0,0,0,1,1,0,0,0,0
TOPs,6,0,2,0,0,0,1,0,2,0,0,1
tube,6,0,5,0,0,0,0,0,0,0,0,1
Think,6,0,5,0,0,0,0,0,0,0,0,1
Theme,6,0,2,4,0,0,0,0,0,0,0,0
ten,6,0,1,0,0,0,1,1,0,0,1,2
Test,5,1,3,0,0,0,0,0,0,1,0,0
than,5,0,5,0,0,0,0,0,0,0,0,0
Thread,5,0,1,0,0,0,0,0,0,1,2,1
Survival,5,0,4,0,0,0,0,0,0,1,0,0
taa,5,0,0,0,0,1,3,1,0,0,0,0
soft,5,0,1,0,0,1,0,0,0,1,0,2
shake,5,0,0,0,0,0,3,0,0,2,0,0
stage,5,0,3,0,0,0,0,0,1,0,0,1
vintage,5,0,3,1,0,0,0,0,0,0,0,1
beat,5,0,1,0,0,0,2,1,0,0,0,1
better,5,0,3,0,0,0,0,0,0,2,0,0
Bff,5,0,2,1,0,1,0,0,0,0,1,0
Agile,5,2,3,0,0,0,0,0,0,0,0,0
Choice,5,0,0,0,0,0,1,0,2,2,0,0
class,5,0,1,0,0,0,1,1,0,0,1,1
Change,5,0,4,0,0,0,0,0,1,0,0,0
Chicken,5,0,1,1,0,1,1,0,0,0,0,1
coming,5,0,0,0,0,0,1,1,0,0,2,1
core,5,0,0,0,0,0,0,1,2,0,1,1
Cash,5,0,3,0,0,0,0,1,0,0,0,1
Born,5,0,0,0,2,0,1,0,0,0,1,1
burn,5,0,4,1,0,0,0,0,0,0,0,0
Cross,5,0,4,0,0,0,0,0,1,0,0,0
curious,5,0,0,0,0,0,0,0,0,0,0,5
Cute,5,0,2,0,0,0,2,1,0,0,0,0
dark,5,0,0,0,0,0,1,0,2,2,0,0
country,5,0,3,1,1,0,0,0,0,0,0,0
Deep,5,0,1,0,1,1,0,0,1,0,0,1
Days,5,0,1,0,0,0,0,0,0,3,1,0
Deck,5,0,0,0,0,1,0,0,0,0,0,4
Dragon,5,0,2,0,0,0,0,0,2,1,0,0
Drupal,5,0,5,0,0,0,0,0,0,0,0,0
ENTER,5,1,3,1,0,0,0,0,0,0,0,0
edit,5,0,4,0,0,0,0,1,0,0,0,0
Easy,5,0,3,0,0,1,0,0,1,0,0,0
floor,5,0,1,1,2,0,0,1,0,0,0,0
grace,5,0,3,0,0,0,0,0,0,1,1,0
gold,5,0,2,0,0,0,1,0,0,0,1,1
Plate,5,0,2,0,0,0,0,1,0,0,0,2
pin,5,0,4,1,0,0,0,0,0,0,0,0
photography,5,0,2,0,0,0,0,0,0,0,0,3
picture,5,0,3,0,0,0,0,0,0,0,0,2
pepperoni,5,0,2,0,0,1,0,0,0,0,0,2
Official,5,0,2,0,0,0,0,0,1,1,1,0
nominee,5,0,0,0,0,0,0,0,5,0,0,0
NEON,5,0,2,0,0,0,0,1,1,1,0,0
pager,5,0,5,0,0,0,0,0,0,0,0,0
outdoor,5,0,5,0,0,0,0,0,0,0,0,0
Really,5,0,4,0,0,0,0,0,1,0,0,0
Redirect,5,1,4,0,0,0,0,0,0,0,0,0
puppet,5,0,5,0,0,0,0,0,0,0,0,0
PUT,5,0,3,0,1,0,0,0,0,0,0,1
Python,5,0,5,0,0,0,0,0,0,0,0,0
Repeat,5,0,0,0,0,0,1,0,2,1,0,1
Run,5,0,3,0,0,1,0,1,0,0,0,0
round,5,0,2,0,0,0,0,0,0,0,1,2
revenge,5,0,1,0,0,1,0,2,1,0,0,0
Science,5,0,4,0,1,0,0,0,0,0,0,0
scrap,5,0,3,1,0,1,0,0,0,0,0,0
second,5,2,2,0,0,0,0,1,0,0,0,0
Sad,5,2,2,0,0,0,0,0,0,0,0,1
Save,5,0,5,0,0,0,0,0,0,0,0,0
Groove,5,1,2,0,0,0,0,0,1,0,0,1
hard,5,0,2,0,0,0,1,1,0,0,0,1
ID,5,0,3,1,0,1,0,0,0,0,0,0
Jet,5,0,3,0,0,1,0,0,0,0,0,1
jingle,5,0,3,0,1,0,0,0,0,0,0,1
ladybug,5,1,4,0,0,0,0,0,0,0,0,0
Label,5,0,3,0,1,0,0,1,0,0,0,0
Lap,5,0,2,0,0,0,0,0,0,2,1,0
Mind,5,0,5,0,0,0,0,0,0,0,0,0
mention,5,0,0,0,2,2,0,0,0,0,1,0
name,5,0,3,0,0,0,0,2,0,0,0,0
Lunch,5,3,2,0,0,0,0,0,0,0,0,0
Magnum,5,0,4,0,0,0,0,0,0,0,1,0
leg,5,0,3,0,1,0,0,1,0,0,0,0
Machine,4,0,1,0,0,0,0,0,1,1,0,1
LUCK,4,0,1,0,0,0,0,1,0,2,0,0
much,4,0,3,0,0,0,0,1,0,0,0,0
MORNING,4,1,1,1,0,0,0,0,0,0,1,0
Modern,4,0,2,0,0,0,0,0,0,0,1,1
moment,4,0,2,0,0,1,0,1,0,0,0,0
lay,4,1,2,0,0,0,0,0,0,1,0,0
Ladies,4,0,4,0,0,0,0,0,0,0,0,0
Lab,4,0,1,0,0,0,0,1,1,0,0,1
Kill,4,0,3,0,1,0,0,0,0,0,0,0
jump,4,1,0,0,1,0,0,0,1,0,0,1
keep,4,0,2,0,0,1,0,0,0,0,1,0
interview,4,0,3,0,0,0,0,0,0,0,1,0
into,4,0,3,0,0,0,1,0,0,0,0,0
idea,4,0,3,0,0,0,0,0,0,0,1,0
HONEY,4,0,0,0,0,0,2,0,0,0,0,2
HOLLY,4,0,4,0,0,0,0,0,0,0,0,0
half,4,0,1,1,0,0,0,0,0,2,0,0
her,4,0,1,0,0,0,0,0,0,0,1,2
happiness,4,0,3,1,0,0,0,0,0,0,0,0
Heaven,4,0,3,0,1,0,0,0,0,0,0,0
head,4,1,3,0,0,0,0,0,0,0,0,0
Rush,4,0,2,0,0,0,0,0,2,0,0,0
Saint,4,0,0,1,1,1,1,0,0,0,0,0
screen,4,0,3,0,0,1,0,0,0,0,0,0
Research,4,0,4,0,0,0,0,0,0,0,0,0
Rover,4,0,1,0,0,1,0,2,0,0,0,0
royal,4,0,1,0,0,0,0,2,0,1,0,0
right,4,0,3,0,0,0,0,1,0,0,0,0
Rocky,4,0,2,0,0,0,0,1,0,1,0,0
premiere,4,1,2,0,0,0,0,0,0,0,0,1
random,4,0,4,0,0,0,0,0,0,0,0,0
Rank,4,2,2,0,0,0,0,0,0,0,0,0
RANKED,4,0,0,0,0,0,0,1,0,0,3,0
rapper,4,0,4,0,0,0,0,0,0,0,0,0
only,4,0,2,0,0,0,0,0,0,1,1,0
pain,4,0,1,1,1,0,0,0,0,1,0,0
outsight,4,1,3,0,0,0,0,0,0,0,0,0
newsletter,4,0,4,0,0,0,0,0,0,0,0,0
pay,4,0,3,0,1,0,0,0,0,0,0,0
Give,4,0,3,0,0,0,1,0,0,0,0,0
grind,4,0,4,0,0,0,0,0,0,0,0,0
Frog,4,0,4,0,0,0,0,0,0,0,0,0
firework,4,0,0,3,1,0,0,0,0,0,0,0
experience,4,0,4,0,0,0,0,0,0,0,0,0
extended,4,0,3,0,0,0,0,0,1,0,0,0
Fall,4,0,1,0,0,0,0,0,1,0,2,0
Empire,4,0,2,0,0,1,0,0,0,0,0,1
essence,4,0,0,0,0,0,0,2,0,0,0,2
drop,4,0,1,0,0,0,0,0,0,0,3,0
Delivery,4,0,1,0,0,1,1,0,0,0,0,1
dear,4,0,1,2,0,0,0,0,1,0,0,0
Death,4,0,2,0,0,0,0,0,2,0,0,0
dancing,4,0,3,0,0,0,1,0,0,0,0,0
crossover,4,0,4,0,0,0,0,0,0,0,0,0
crash,4,1,2,0,0,0,0,0,0,0,0,1
briefing,4,0,4,0,0,0,0,0,0,0,0,0
business,4,3,1,0,0,0,0,0,0,0,0,0
btw,4,0,3,0,0,0,0,0,0,0,0,1
bomb,4,0,0,1,1,0,0,0,0,1,0,1
CABARET,4,0,3,0,0,0,0,1,0,0,0,0
buttons,4,0,4,0,0,0,0,0,0,0,0,0
Concert,4,0,3,0,0,0,0,1,0,0,0,0
Color,4,0,3,0,0,0,0,0,0,0,0,1
Catfish,4,0,0,0,0,0,0,3,1,0,0,0
Celebration,4,0,4,0,0,0,0,0,0,0,0,0
close,4,0,2,0,0,0,1,0,0,0,1,0
cloud,4,0,4,0,0,0,0,0,0,0,0,0
Client,4,1,3,0,0,0,0,0,0,0,0,0
agree,4,0,4,0,0,0,0,0,0,0,0,0
agreed,4,0,4,0,0,0,0,0,0,0,0,0
alt,4,0,1,1,1,0,0,1,0,0,0,0
Action,4,0,4,0,0,0,0,0,0,0,0,0
activity,4,0,4,0,0,0,0,0,0,0,0,0
after,4,0,2,0,0,0,0,0,0,0,2,0
Analytics,4,0,4,0,0,0,0,0,0,0,0,0
Angry,4,0,0,0,1,2,0,0,0,1,0,0
blip,4,1,3,0,0,0,0,0,0,0,0,0
basic,4,0,4,0,0,0,0,0,0,0,0,0
Away,4,1,1,0,0,0,0,2,0,0,0,0
AWESOME,4,0,4,0,0,0,0,0,0,0,0,0
banker,4,0,4,0,0,0,0,0,0,0,0,0
Visa,4,1,2,0,0,0,0,0,0,0,0,1
want,4,0,3,0,0,0,0,0,0,1,0,0
WORKING,4,3,0,0,0,0,0,0,0,1,0,0
WORTH,4,0,1,0,0,0,0,0,3,0,0,0
was,4,0,1,0,0,0,0,0,0,3,0,0
YT,4,1,2,0,0,0,0,0,0,0,0,1
zip,4,0,2,0,0,0,0,0,0,0,0,2
staff,4,0,2,0,1,0,0,0,0,1,0,0
State,4,0,3,0,0,0,0,0,0,0,1,0
Spring,4,0,3,0,0,0,0,0,0,0,1,0
South,4,0,1,0,0,0,0,1,0,0,1,1
speed,4,0,4,0,0,0,0,0,0,0,0,0
sunset,4,0,0,0,0,1,0,0,2,0,1,0
Shark,4,1,1,0,0,0,0,1,1,0,0,0
server,4,0,4,0,0,0,0,0,0,0,0,0
Sevenfold,4,0,0,2,0,2,0,0,0,0,0,0
send,4,0,3,0,0,0,1,0,0,0,0,0
sent,4,0,2,0,1,1,0,0,0,0,0,0
SHIPPER,4,0,0,0,0,0,1,1,1,0,0,1
Singer,4,0,3,0,0,0,0,0,0,0,0,1
Sniper,4,0,2,0,0,0,0,0,0,2,0,0
Slide,4,0,2,0,0,0,0,0,0,1,0,1
tableless,4,0,4,0,0,0,0,0,0,0,0,0
sugar,4,0,1,0,0,0,0,0,1,2,0,0
Sync,4,1,3,0,0,0,0,0,0,0,0,0
TELL,4,0,0,0,0,1,0,0,3,0,0,0
Two,4,0,0,0,0,0,0,0,2,2,0,0
Undo,4,0,4,0,0,0,0,0,0,0,0,0
track,4,0,0,2,0,0,0,0,0,0,0,2
Travel,3,0,0,0,1,1,0,0,0,0,0,1
took,3,0,2,1,0,0,0,0,0,0,0,0
TIGER,3,0,2,0,0,0,0,0,0,1,0,0
value,3,0,2,1,0,0,0,0,0,0,0,0
version,3,1,0,0,0,0,0,0,1,1,0,0
Type,3,0,2,0,0,0,0,0,0,1,0,0
TRAP,3,0,0,0,0,0,0,0,0,1,0,2
Teens,3,1,1,0,0,0,0,0,0,0,0,1
Thank,3,0,2,0,0,1,0,0,0,0,0,0
three,3,0,3,0,0,0,0,0,0,0,0,0
tape,3,0,3,0,0,0,0,0,0,0,0,0
tease,3,0,3,0,0,0,0,0,0,0,0,0
snaps,3,0,0,0,0,0,0,0,0,3,0,0
Snoopy,3,0,1,0,0,0,1,0,0,0,0,1
Sir,3,0,3,0,0,0,0,0,0,0,0,0
SIX,3,0,1,0,0,0,0,0,0,0,2,0
skin,3,0,1,0,0,0,0,0,1,0,0,1
SIN,3,0,0,0,0,0,0,0,0,1,0,2
since,3,0,1,0,0,2,0,0,0,0,0,0
sister,3,0,1,0,2,0,0,0,0,0,0,0
Shore,3,0,0,0,0,0,0,1,0,2,0,0
shame,3,0,2,0,0,0,0,0,0,0,0,1
shape,3,0,0,0,1,0,0,0,1,0,1,0
submit,3,0,3,0,0,0,0,0,0,0,0,0
steal,3,0,1,0,0,0,0,0,1,0,0,1
strange,3,0,2,0,1,0,0,0,0,0,0,0
someone,3,0,3,0,0,0,0,0,0,0,0,0
something,3,0,2,0,0,1,0,0,0,0,0,0
spot,3,0,1,2,0,0,0,0,0,0,0,0
wine,3,0,1,0,0,0,1,0,0,0,1,0
Wife,3,0,0,0,0,0,0,0,3,0,0,0
worm,3,0,3,0,0,0,0,0,0,0,0,0
write,3,0,3,0,0,0,0,0,0,0,0,0
woman,3,0,2,0,0,0,0,0,0,1,0,0
vinyl,3,0,0,0,0,0,0,0,0,0,0,3
Whatever,3,1,2,0,0,0,0,0,0,0,0,0
backstage,3,0,3,0,0,0,0,0,0,0,0,0
attack,3,0,0,0,0,0,1,1,0,0,0,1
available,3,0,3,0,0,0,0,0,0,0,0,0
bag,3,0,0,0,0,0,0,1,0,0,1,1
beautiful,3,0,2,0,0,0,1,0,0,0,0,0
before,3,0,1,0,0,0,0,0,0,2,0,0
Bass,3,0,1,0,0,0,1,0,1,0,0,0
blocked,3,0,3,0,0,0,0,0,0,0,0,0
birthday,3,0,0,0,0,0,1,0,0,1,0,1
Assassin,3,0,1,0,0,0,0,0,0,1,0,1
asylum,3,0,2,0,0,0,0,0,0,1,0,0
Aquarius,3,0,3,0,0,0,0,0,0,0,0,0
Another,3,0,2,0,0,0,0,1,0,0,0,0
any,3,0,2,0,0,0,0,0,1,0,0,0
addicted,3,0,3,0,0,0,0,0,0,0,0,0
access,3,0,3,0,0,0,0,0,0,0,0,0
account,3,0,3,0,0,0,0,0,0,0,0,0
Circus,3,0,2,0,0,0,0,0,0,1,0,0
Cest,3,0,2,0,0,0,0,0,0,1,0,0
Champion,3,0,0,1,0,0,0,0,0,0,1,1
comment,3,0,3,0,0,0,0,0,0,0,0,0
coach,3,0,1,0,0,0,0,0,1,0,0,1
Codex,3,0,2,0,1,0,0,0,0,0,0,0
Coffee,3,0,1,0,0,1,0,0,0,0,0,1
COMMON,3,0,1,0,0,0,0,0,0,0,0,2
Connection,3,0,2,1,0,0,0,0,0,0,0,0
Contact,3,1,2,0,0,0,0,0,0,0,0,0
Content,3,0,3,0,0,0,0,0,0,0,0,0
calling,3,0,3,0,0,0,0,0,0,0,0,0
bone,3,0,0,0,0,1,0,0,0,0,0,2
buffalo,3,0,3,0,0,0,0,0,0,0,0,0
breaking,3,0,0,0,0,0,0,2,0,0,0,1
DAMN,3,0,3,0,0,0,0,0,0,0,0,0
Could,3,0,1,1,0,1,0,0,0,0,0,0
course,3,0,2,0,0,0,0,0,1,0,0,0
Counter,3,0,3,0,0,0,0,0,0,0,0,0
dash,3,0,1,0,0,0,1,0,0,0,0,1
debut,3,0,1,0,1,0,0,0,0,0,0,1
dial,3,0,2,0,0,0,0,0,0,0,1,0
did,3,0,3,0,0,0,0,0,0,0,0,0
driver,3,0,2,1,0,0,0,0,0,0,0,0
dread,3,0,0,0,0,0,0,0,1,0,0,2
disk,3,0,1,0,1,0,1,0,0,0,0,0
Dock,3,0,1,0,1,0,0,0,0,0,0,1
Doctor,3,0,1,0,0,0,0,0,0,1,1,0
does,3,0,2,0,0,1,0,0,0,0,0,0
Doll,3,0,3,0,0,0,0,0,0,0,0,0
entry,3,0,3,0,0,0,0,0,0,0,0,0
Dude,3,0,1,1,0,1,0,0,0,0,0,0
dump,3,1,2,0,0,0,0,0,0,0,0,0
Everybody,3,0,3,0,0,0,0,0,0,0,0,0
fact,3,0,2,1,0,0,0,0,0,0,0,0
Fedora,3,0,2,0,0,0,0,0,0,1,0,0
FEAR,3,0,2,0,0,0,0,1,0,0,0,0
fish,3,0,2,0,0,0,0,1,0,0,0,0
finish,3,0,1,0,1,0,0,1,0,0,0,0
flow,3,0,0,0,0,0,0,0,1,0,2,0
folk,3,0,3,0,0,0,0,0,0,0,0,0
future,3,0,2,0,0,0,1,0,0,0,0,0
Frozen,3,0,0,0,0,0,0,1,1,0,0,1
grader,3,0,3,0,0,0,0,0,0,0,0,0
Peace,3,0,3,0,0,0,0,0,0,0,0,0
penalty,3,0,3,0,0,0,0,0,0,0,0,0
PICK,3,0,2,0,0,0,0,0,1,0,0,0
Pilot,3,0,1,0,0,0,0,0,1,0,1,0
Pierce,3,0,3,0,0,0,0,0,0,0,0,0
posted,3,0,1,0,1,0,0,0,1,0,0,0
Poll,3,0,3,0,0,0,0,0,0,0,0,0
Pope,3,1,0,1,0,0,0,0,1,0,0,0
next,3,0,2,0,0,0,0,0,0,0,1,0
neet,3,0,0,0,1,2,0,0,0,0,0,0
Pants,3,0,2,0,0,0,1,0,0,0,0,0
paradise,3,0,0,0,0,0,1,0,1,0,0,1
obvious,3,0,3,0,0,0,0,0,0,0,0,0
rainbow,3,0,0,0,1,0,0,0,0,0,1,1
pussy,3,1,0,0,0,0,0,0,0,0,0,2
powered,3,0,3,0,0,0,0,0,0,0,0,0
Privilege,3,0,2,0,0,0,0,0,0,0,0,1
problem,3,0,2,0,1,0,0,0,0,0,0,0
Priceless,3,0,2,0,0,1,0,0,0,0,0,0
Quake,3,0,3,0,0,0,0,0,0,0,0,0
public,3,0,1,0,0,0,0,0,0,0,0,2
ham,3,0,1,0,0,0,0,0,0,1,0,1
hoax,3,0,3,0,0,0,0,0,0,0,0,0
his,3,0,2,0,0,0,0,0,0,0,0,1
hilarious,3,0,3,0,0,0,0,0,0,0,0,0
horse,3,0,2,0,0,0,0,1,0,0,0,0
interactive,3,1,2,0,0,0,0,0,0,0,0,0
insomnia,3,0,3,0,0,0,0,0,0,0,0,0
inspiration,3,0,2,0,0,0,0,0,1,0,0,0
killer,3,0,3,0,0,0,0,0,0,0,0,0
juicy,3,0,1,0,0,1,0,0,0,0,0,1
jukebox,3,1,1,0,0,0,1,0,0,0,0,0
Monster,3,0,1,0,0,0,0,0,2,0,0,0
Nanny,3,0,3,0,0,0,0,0,0,0,0,0
mass,3,0,0,0,2,0,0,0,0,0,0,1
MID,3,0,0,0,0,2,0,0,0,0,0,1
mash,3,1,1,1,0,0,0,0,0,0,0,0
matter,3,0,2,0,0,0,0,0,0,0,1,0
LOT,3,0,2,0,0,0,0,1,0,0,0,0
loop,3,0,3,0,0,0,0,0,0,0,0,0
MAJOR,3,0,0,0,0,0,0,0,0,0,0,3
main,3,0,1,0,0,0,0,0,0,1,0,1
Maker,3,0,0,0,0,0,0,0,0,0,1,2
leader,3,0,1,0,0,0,0,2,0,0,0,0
lie,3,0,2,0,0,0,0,1,0,0,0,0
loft,3,0,3,0,0,0,0,0,0,0,0,0
Loading,3,0,3,0,0,0,0,0,0,0,0,0
Living,2,0,1,1,0,0,0,0,0,0,0,0
lmao,2,0,2,0,0,0,0,0,0,0,0,0
listening,2,0,2,0,0,0,0,0,0,0,0,0
LEAVE,2,0,1,0,0,0,0,1,0,0,0,0
lemon,2,0,1,0,0,0,0,0,0,0,0,1
lemonade,2,0,0,0,0,0,0,0,0,0,1,1
liar,2,0,0,0,0,0,2,0,0,0,0,0
less,2,0,2,0,0,0,0,0,0,0,0,0
LOOPING,2,0,1,0,0,0,0,0,1,0,0,0
loving,2,0,1,0,0,0,0,0,0,0,0,1
Maximum,2,0,2,0,0,0,0,0,0,0,0,0
meeting,2,0,2,0,0,0,0,0,0,0,0,0
math,2,0,1,0,0,0,0,0,0,0,1,0
Match,2,0,1,0,0,0,0,0,0,1,0,0
maniac,2,0,2,0,0,0,0,0,0,0,0,0
map,2,0,2,0,0,0,0,0,0,0,0,0
minute,2,0,2,0,0,0,0,0,0,0,0,0
mirror,2,0,1,1,0,0,0,0,0,0,0,0
nap,2,0,0,2,0,0,0,0,0,0,0,0
Nation,2,0,1,0,0,0,0,0,1,0,0,0
must,2,0,2,0,0,0,0,0,0,0,0,0
mountain,2,0,1,0,0,1,0,0,0,0,0,0
muse,2,0,2,0,0,0,0,0,0,0,0,0
moonwalker,2,0,1,1,0,0,0,0,0,0,0,0
Mosaic,2,1,1,0,0,0,0,0,0,0,0,0
miles,2,0,1,0,0,0,0,0,0,0,0,1
Mixer,2,0,1,0,0,0,0,0,0,0,1,0
justice,2,0,2,0,0,0,0,0,0,0,0,0
juice,2,0,2,0,0,0,0,0,0,0,0,0
lazy,2,0,2,0,0,0,0,0,0,0,0,0
later,2,0,2,0,0,0,0,0,0,0,0,0
incentive,2,0,1,0,0,0,0,0,0,0,0,1
indication,2,0,2,0,0,0,0,0,0,0,0,0
Indoor,2,0,0,0,1,0,0,0,0,0,0,1
INFINITY,2,0,0,0,0,0,0,0,1,0,0,1
hut,2,0,1,0,1,0,0,0,0,0,0,0
Image,2,0,1,0,0,0,0,0,0,0,0,1
import,2,0,0,2,0,0,0,0,0,0,0,0
IMPORTANT,2,0,2,0,0,0,0,0,0,0,0,0
interaction,2,0,2,0,0,0,0,0,0,0,0,0
joke,2,0,2,0,0,0,0,0,0,0,0,0
issue,2,0,2,0,0,0,0,0,0,0,0,0
Human,2,0,2,0,0,0,0,0,0,0,0,0
hide,2,0,2,0,0,0,0,0,0,0,0,0
hater,2,0,0,0,0,0,0,1,0,0,0,1
hash,2,0,1,0,0,0,0,0,0,0,0,1
header,2,0,0,0,0,0,0,1,1,0,0,0
hearts,2,0,0,2,0,0,0,0,0,0,0,0
PRINCESS,2,0,0,0,0,0,1,1,0,0,0,0
Priest,2,0,0,0,1,0,0,0,0,1,0,0
process,2,0,2,0,0,0,0,0,0,0,0,0
Portuguese,2,0,2,0,0,0,0,0,0,0,0,0
queer,2,0,1,0,0,0,0,0,0,0,1,0
quinoa,2,0,0,0,0,0,0,2,0,0,0,0
RACER,2,0,2,0,0,0,0,0,0,0,0,0
question,2,0,2,0,0,0,0,0,0,0,0,0
reflection,2,0,0,0,0,0,0,0,1,0,0,1
Recall,2,0,2,0,0,0,0,0,0,0,0,0
raven,2,0,1,0,0,0,0,1,0,0,0,0
reset,2,0,2,0,0,0,0,0,0,0,0,0
report,2,0,1,0,0,0,0,0,0,0,0,1
schizophrenic,2,0,2,0,0,0,0,0,0,0,0,0
ryot,2,0,2,0,0,0,0,0,0,0,0,0
safe,2,0,2,0,0,0,0,0,0,0,0,0
Said,2,0,1,0,0,0,0,0,1,0,0,0
sailor,2,0,1,0,0,0,0,0,0,0,0,1
sarcasm,2,0,2,0,0,0,0,0,0,0,0,0
say,2,0,2,0,0,0,0,0,0,0,0,0
scandal,2,0,2,0,0,0,0,0,0,0,0,0
onion,2,0,2,0,0,0,0,0,0,0,0,0
outdoors,2,0,1,0,0,0,1,0,0,0,0,0
Orange,2,0,0,0,0,1,0,0,0,0,0,1
orgasm,2,0,2,0,0,0,0,0,0,0,0,0
pane,2,0,2,0,0,0,0,0,0,0,0,0
pad,2,0,2,0,0,0,0,0,0,0,0,0
overview,2,0,2,0,0,0,0,0,0,0,0,0
overwatch,2,0,0,0,0,0,0,0,0,2,0,0
NEED,2,0,2,0,0,0,0,0,0,0,0,0
NEST,2,0,1,0,1,0,0,0,0,0,0,0
noise,2,0,1,0,1,0,0,0,0,0,0,0
octopus,2,0,2,0,0,0,0,0,0,0,0,0
number,2,0,0,1,1,0,0,0,0,0,0,0
plot,2,0,0,0,0,0,0,0,0,0,1,1
Popcorn,2,1,0,0,0,0,0,0,1,0,0,0
pity,2,0,2,0,0,0,0,0,0,0,0,0
playback,2,0,0,0,1,0,0,0,1,0,0,0
Pipe,2,0,1,0,0,1,0,0,0,0,0,0
Pie,2,0,1,0,0,0,0,0,0,0,0,1
photographer,2,0,0,0,0,0,0,0,0,0,0,2
peep,2,0,2,0,0,0,0,0,0,0,0,0
pass,2,0,1,0,0,0,0,0,1,0,0,0
gym,2,0,0,0,0,0,0,0,1,0,0,1
gift,2,0,1,0,0,1,0,0,0,0,0,0
goes,2,0,1,1,0,0,0,0,0,0,0,0
goo,2,1,1,0,0,0,0,0,0,0,0,0
Fuel,2,0,2,0,0,0,0,0,0,0,0,0
Fury,2,0,2,0,0,0,0,0,0,0,0,0
getting,2,0,2,0,0,0,0,0,0,0,0,0
ghost,2,0,2,0,0,0,0,0,0,0,0,0
generation,2,0,1,0,0,0,0,1,0,0,0,0
gentleman,2,0,1,1,0,0,0,0,0,0,0,0
Forward,2,0,1,1,0,0,0,0,0,0,0,0
frame,2,1,1,0,0,0,0,0,0,0,0,0
Flux,2,0,2,0,0,0,0,0,0,0,0,0
folder,2,0,1,0,0,1,0,0,0,0,0,0
Fondue,2,0,0,0,1,0,0,0,0,0,0,1
font,2,0,2,0,0,0,0,0,0,0,0,0
