word,machado_fl,mac_morpho_fl,floresta_fl,genesis_fl,unitex-PB_fl,Manual Label
anda,Y,Y,Y,Y,Y,Y
Anderson,Y,N,N,Y,N,N
Andre,Y,N,N,Y,N,N
Andrea,Y,N,Y,Y,N,N
android,Y,Y,Y,Y,N,N
Andy,Y,N,Y,Y,N,N
anemia,Y,Y,N,N,Y,Y
anes,Y,Y,Y,Y,N,N
angaria,N,Y,Y,Y,N,N
angel,N,Y,Y,N,N,N
Angela,Y,N,Y,Y,N,N
Angelica,Y,Y,Y,Y,N,N
Angelina,N,N,Y,Y,N,N
Angola,N,N,N,Y,N,N
angry,Y,Y,Y,N,N,N
Angus,N,N,Y,Y,N,N
anima,Y,Y,Y,N,Y,Y
animal,Y,Y,Y,Y,Y,Y
animation,Y,Y,Y,Y,N,N
anime,Y,N,N,N,Y,Y
Anita,Y,N,Y,Y,N,N
Ann,Y,N,Y,N,N,N
Anna,N,N,Y,N,N,N
Anne,N,N,Y,Y,N,N
Annie,Y,Y,Y,Y,N,N
anniversary,Y,Y,Y,Y,N,N
anon,Y,Y,Y,Y,N,N
anonymous,Y,Y,Y,Y,N,N
anorexia,N,N,N,N,Y,Y
anormal,Y,N,N,N,Y,Y
another,Y,Y,Y,N,N,N
answer,Y,Y,Y,N,N,N
ant,N,N,N,N,N,N
anta,Y,N,N,N,Y,Y
Antarctica,Y,N,Y,Y,N,N
ante,N,N,Y,N,N,N
anterior,Y,Y,Y,N,Y,Y
antes,Y,Y,Y,Y,Y,Y
Anthony,Y,N,Y,Y,N,N
anti,Y,Y,N,N,Y,Y
antivirus,N,N,N,N,N,Y
Antonella,Y,N,Y,Y,N,N
Antonio,N,N,Y,Y,N,N
Antony,N,N,Y,Y,N,N
antra,Y,Y,Y,Y,N,N
anus,N,N,N,N,Y,Y
anxiety,Y,Y,Y,Y,N,N
any,Y,Y,Y,N,N,N
anyone,Y,Y,Y,Y,N,N
anyway,Y,Y,Y,Y,N,N
Ao,N,N,N,N,N,N
aorta,N,Y,N,N,Y,Y
ape,Y,Y,Y,Y,N,N
Aphrodite,Y,Y,Y,Y,N,N
apocalypse,Y,Y,Y,Y,N,N
Apollo,N,N,N,Y,N,N
apologia,Y,Y,Y,N,Y,Y
appeal,Y,N,Y,Y,N,N
apple,Y,Y,Y,Y,N,N
apt,N,N,N,N,N,Y
Aquarius,Y,N,Y,Y,N,N
ar,Y,Y,Y,Y,Y,Y
Arabella,Y,Y,Y,Y,N,N
arara,Y,Y,N,N,Y,Y
arca,Y,Y,N,Y,Y,Y
architecture,Y,N,Y,Y,N,N
Arcos,Y,N,N,N,N,Y
arctic,Y,Y,Y,Y,N,N
are,N,Y,Y,N,N,N
area,N,Y,N,N,N,Y
areal,Y,N,N,N,Y,Y
arena,Y,Y,N,N,Y,Y
Argentina,N,N,N,Y,N,N
Argentino,Y,N,Y,Y,N,N
Argo,N,Y,Y,Y,N,N
Ariana,Y,Y,Y,Y,N,N
Ariel,N,N,Y,Y,N,N
Aries,N,N,N,N,N,Y
arles,Y,Y,Y,Y,N,N
